,PC6,M_INKHH
0,1011AC,5
1,1011AH,9
2,1011AJ,8
3,1011AN,11
4,1011AP,10
5,1011AR,2
6,1011AT,2
7,1011AV,9
8,1011AW,8
9,1011AX,10
10,1011AZ,8
11,1011BA,3
12,1011BC,4
13,1011BD,10
14,1011BG,5
15,1011BH,9
16,1011BJ,8
17,1011BK,11
18,1011BL,8
19,1011BN,10
20,1011BP,8
21,1011BR,8
22,1011BS,11
23,1011BT,10
24,1011BV,10
25,1011BW,2
26,1011BX,2
27,1011BZ,5
28,1011CA,9
29,1011CB,9
30,1011CC,8
31,1011CD,9
32,1011CE,6
33,1011CH,5
34,1011CJ,5
35,1011CK,2
36,1011CL,5
37,1011CM,7
38,1011CR,5
39,1011CS,8
40,1011CT,8
41,1011CV,2
42,1011CW,5
43,1011CX,5
44,1011CZ,8
45,1011DD,7
46,1011DG,11
47,1011DK,8
48,1011DL,11
49,1011DZ,2
50,1011EA,2
51,1011EB,5
52,1011EC,5
53,1011ED,5
54,1011EE,5
55,1011EG,5
56,1011EH,4
57,1011EJ,7
58,1011EK,8
59,1011EL,7
60,1011EM,2
61,1011EN,8
62,1011ET,5
63,1011EW,5
64,1011EX,2
65,1011GA,5
66,1011GD,7
67,1011GG,5
68,1011GH,4
69,1011GJ,2
70,1011GL,2
71,1011GM,2
72,1011GN,2
73,1011GR,2
74,1011GS,9
75,1011GV,8
76,1011GW,5
77,1011GX,8
78,1011GZ,2
79,1011HB,4
80,1011HC,5
81,1011HD,7
82,1011HE,5
83,1011HG,2
84,1011HH,5
85,1011HJ,10
86,1011HK,2
87,1011HL,8
88,1011HP,2
89,1011HR,5
90,1011HS,7
91,1011HT,10
92,1011HV,10
93,1011HW,10
94,1011HZ,7
95,1011JA,7
96,1011JB,5
97,1011JH,4
98,1011JL,8
99,1011JN,11
100,1011JT,5
101,1011JV,8
102,1011JZ,2
103,1011KA,8
104,1011KB,11
105,1011KC,5
106,1011KD,1
107,1011KH,9
108,1011KJ,8
109,1011KK,5
110,1011KP,11
111,1011KR,5
112,1011KS,8
113,1011KT,2
114,1011KV,5
115,1011KW,7
116,1011KZ,2
117,1011LB,5
118,1011LC,8
119,1011LD,5
120,1011LE,7
121,1011LH,2
122,1011LJ,5
123,1011LL,8
124,1011LM,9
125,1011LP,5
126,1011LR,2
127,1011LS,2
128,1011LT,3
129,1011LV,7
130,1011LW,5
131,1011LZ,10
132,1011MB,2
133,1011MG,9
134,1011MH,11
135,1011MJ,9
136,1011MK,8
137,1011ML,9
138,1011MN,5
139,1011MP,11
140,1011MR,8
141,1011MT,11
142,1011MV,10
143,1011MX,2
144,1011MZ,10
145,1011NA,5
146,1011NB,8
147,1011NC,11
148,1011ND,2
149,1011NK,10
150,1011NS,7
151,1011NV,11
152,1011PB,5
153,1011PG,7
154,1011PL,5
155,1011PM,4
156,1011PT,8
157,1011PW,5
158,1011RA,2
159,1011RE,5
160,1011RG,7
161,1011RH,4
162,1011RK,11
163,1011RL,10
164,1011RM,1
165,1011RN,10
166,1011RZ,3
167,1011SB,1
168,1011SE,3
169,1011SG,5
170,1011SK,8
171,1011SP,11
172,1011SR,2
173,1011ST,2
174,1011SV,2
175,1011SW,2
176,1011SX,2
177,1011SZ,2
178,1011TB,8
179,1011TC,7
180,1011TD,1
181,1011TE,5
182,1011TG,8
183,1011TJ,8
184,1011TL,5
185,1011TM,2
186,1011TR,8
187,1011TS,8
188,1011TT,2
189,1011TV,5
190,1011TW,10
191,1011TX,8
192,1011TZ,8
193,1011VA,5
194,1011VK,8
195,1011VL,5
196,1011VM,5
197,1011VP,5
198,1011VR,2
199,1011VS,5
200,1011VZ,8
201,1011WB,5
202,1011WC,2
203,1011WD,4
204,1011XA,5
205,1012AE,9
206,1012AK,5
207,1012AL,8
208,1012AR,5
209,1012AS,5
210,1012AT,2
211,1012AV,5
212,1012AW,5
213,1012AZ,8
214,1012BA,5
215,1012BB,2
216,1012BC,9
217,1012BD,2
218,1012BG,5
219,1012BH,7
220,1012BJ,5
221,1012BK,4
222,1012BL,7
223,1012BM,4
224,1012BN,7
225,1012BP,5
226,1012BS,7
227,1012BT,10
228,1012BV,5
229,1012BW,5
230,1012BX,1
231,1012BZ,8
232,1012CA,8
233,1012CB,2
234,1012CD,4
235,1012CE,5
236,1012CJ,7
237,1012CK,5
238,1012CL,8
239,1012CR,7
240,1012CS,5
241,1012CT,5
242,1012CW,7
243,1012CX,5
244,1012CZ,2
245,1012DA,5
246,1012DB,3
247,1012DC,4
248,1012DE,8
249,1012DG,7
250,1012DJ,1
251,1012DK,8
252,1012DL,2
253,1012DM,4
254,1012DP,2
255,1012DR,2
256,1012DS,2
257,1012DV,2
258,1012DW,8
259,1012DX,9
260,1012DZ,8
261,1012ED,2
262,1012EE,8
263,1012EH,8
264,1012EJ,5
265,1012EK,1
266,1012EL,2
267,1012EM,11
268,1012EN,9
269,1012EP,5
270,1012ER,10
271,1012ES,4
272,1012ET,1
273,1012EV,1
274,1012EW,7
275,1012EX,8
276,1012EZ,8
277,1012GA,5
278,1012GB,5
279,1012GD,8
280,1012GE,7
281,1012GH,8
282,1012GJ,4
283,1012GK,2
284,1012GL,5
285,1012GM,10
286,1012GP,4
287,1012GR,8
288,1012GS,2
289,1012GT,1
290,1012GW,2
291,1012GZ,4
292,1012HA,2
293,1012HC,7
294,1012HE,4
295,1012HG,1
296,1012HL,7
297,1012HM,2
298,1012HT,2
299,1012HW,5
300,1012HX,9
301,1012JA,4
302,1012JB,5
303,1012JD,9
304,1012JG,7
305,1012JH,2
306,1012JM,2
307,1012JP,1
308,1012JV,1
309,1012KC,1
310,1012KE,5
311,1012KS,1
312,1012KV,11
313,1012LB,11
314,1012LC,2
315,1012LJ,8
316,1012LL,9
317,1012LP,8
318,1012LX,4
319,1012LZ,5
320,1012MA,5
321,1012MB,2
322,1012MC,4
323,1012MD,2
324,1012MH,8
325,1012MK,2
326,1012ML,5
327,1012MN,2
328,1012MR,8
329,1012NB,1
330,1012NC,9
331,1012NE,9
332,1012NG,9
333,1012NH,7
334,1012NJ,8
335,1012NK,2
336,1012NL,9
337,1012NM,8
338,1012NN,3
339,1012PB,8
340,1012PL,2
341,1012PM,2
342,1012PS,9
343,1012PT,2
344,1012PV,4
345,1012RD,4
346,1012RE,1
347,1012RG,2
348,1012RK,8
349,1012RM,7
350,1012RR,2
351,1012RS,7
352,1012RT,9
353,1012RV,7
354,1012RZ,5
355,1012SC,2
356,1012SE,4
357,1012SH,2
358,1012SK,8
359,1012SN,5
360,1012SP,8
361,1012SR,8
362,1012ST,5
363,1012SV,7
364,1012SW,1
365,1012SZ,8
366,1012TA,9
367,1012TB,1
368,1012TC,7
369,1012TD,1
370,1012TE,5
371,1012TK,5
372,1012TN,5
373,1012TS,4
374,1012TT,7
375,1012TV,4
376,1012TW,2
377,1012TX,2
378,1012TZ,1
379,1012VC,8
380,1012VD,4
381,1012VE,5
382,1012VG,10
383,1012VH,8
384,1012VJ,9
385,1012VK,5
386,1012VM,4
387,1012VP,5
388,1012VR,2
389,1012VT,2
390,1012VV,8
391,1012VW,9
392,1012VX,4
393,1012WG,8
394,1012WH,5
395,1012WJ,9
396,1012WK,3
397,1012WL,8
398,1012WN,8
399,1012WP,10
400,1012WS,4
401,1012WT,2
402,1012WV,4
403,1012WX,2
404,1012XJ,10
405,1012XK,7
406,1012XL,5
407,1012XM,5
408,1012ZD,2
409,1012ZE,4
410,1012ZG,5
411,1012ZL,2
412,1013AD,7
413,1013AG,4
414,1013AL,4
415,1013AS,10
416,1013AT,1
417,1013AV,5
418,1013AW,10
419,1013AX,1
420,1013AZ,9
421,1013BH,9
422,1013BP,4
423,1013BR,9
424,1013BV,11
425,1013BW,5
426,1013BX,9
427,1013BZ,8
428,1013CA,5
429,1013CB,9
430,1013CC,7
431,1013CD,2
432,1013CG,4
433,1013CH,4
434,1013CJ,5
435,1013CK,5
436,1013CL,4
437,1013CM,4
438,1013CR,7
439,1013CS,7
440,1013CT,2
441,1013CW,9
442,1013CZ,5
443,1013DA,2
444,1013DB,2
445,1013DC,2
446,1013DD,2
447,1013DG,2
448,1013DH,2
449,1013DJ,2
450,1013DK,5
451,1013DL,4
452,1013DM,4
453,1013DN,2
454,1013DP,2
455,1013DS,2
456,1013DT,2
457,1013DV,5
458,1013DW,2
459,1013DX,2
460,1013DZ,5
461,1013EA,5
462,1013EB,10
463,1013EC,8
464,1013ED,11
465,1013EE,7
466,1013EG,7
467,1013EH,9
468,1013EJ,2
469,1013EL,7
470,1013EM,4
471,1013EN,5
472,1013ER,9
473,1013ES,8
474,1013ET,5
475,1013EV,8
476,1013EW,8
477,1013EZ,5
478,1013GA,5
479,1013GB,5
480,1013GC,8
481,1013GD,9
482,1013GE,10
483,1013GG,7
484,1013GH,2
485,1013GJ,5
486,1013GK,8
487,1013GL,4
488,1013GM,4
489,1013GN,9
490,1013GP,8
491,1013GR,5
492,1013GS,11
493,1013GT,10
494,1013GW,9
495,1013GX,8
496,1013GZ,11
497,1013HA,7
498,1013HB,9
499,1013HC,11
500,1013HD,11
501,1013HE,8
502,1013HG,8
503,1013HK,11
504,1013HL,5
505,1013HM,7
506,1013HN,1
507,1013HP,2
508,1013HR,5
509,1013HS,8
510,1013HT,2
511,1013HV,4
512,1013HW,8
513,1013HX,2
514,1013HZ,8
515,1013JA,10
516,1013JC,7
517,1013JD,5
518,1013JE,5
519,1013JG,5
520,1013JH,5
521,1013JJ,7
522,1013JK,7
523,1013JL,2
524,1013JM,4
525,1013JN,5
526,1013JP,1
527,1013JR,5
528,1013JS,5
529,1013JT,9
530,1013JV,7
531,1013JW,5
532,1013JX,5
533,1013KA,2
534,1013KB,9
535,1013KC,5
536,1013KD,5
537,1013KE,10
538,1013KG,10
539,1013KL,2
540,1013KN,4
541,1013KP,5
542,1013KR,9
543,1013KS,2
544,1013KT,9
545,1013KV,11
546,1013KW,7
547,1013KX,11
548,1013LA,7
549,1013LB,4
550,1013LC,7
551,1013LD,7
552,1013LE,4
553,1013LG,5
554,1013LH,4
555,1013LL,9
556,1013LM,11
557,1013LN,10
558,1013LP,7
559,1013LR,9
560,1013LT,4
561,1013LV,8
562,1013MA,2
563,1013MB,7
564,1013MD,8
565,1013MG,5
566,1013MH,4
567,1013MK,2
568,1013ML,5
569,1013MM,11
570,1013MN,5
571,1013MP,2
572,1013MR,7
573,1013MS,8
574,1013MT,4
575,1013MV,5
576,1013MX,7
577,1013MZ,4
578,1013NB,5
579,1013NC,4
580,1013ND,5
581,1013NE,4
582,1013NG,2
583,1013NH,4
584,1013NJ,8
585,1013NK,5
586,1013NL,4
587,1013NM,8
588,1013NN,10
589,1013NS,4
590,1013NT,7
591,1013NV,5
592,1013NX,3
593,1013PA,5
594,1013PD,5
595,1013PH,7
596,1013PJ,5
597,1013PK,2
598,1013PL,7
599,1013PM,8
600,1013PP,2
601,1013PR,2
602,1013PS,2
603,1013PT,5
604,1013PV,1
605,1013PW,2
606,1013PX,1
607,1013RA,1
608,1013RB,5
609,1013RC,2
610,1013RD,2
611,1013RE,4
612,1013RG,1
613,1013RH,2
614,1013RJ,5
615,1013RK,9
616,1013RN,2
617,1013RP,2
618,1013RR,2
619,1013RV,8
620,1013RW,5
621,1013RZ,5
622,1013SB,4
623,1013SC,7
624,1013SE,5
625,1013SG,5
626,1013SH,5
627,1013SJ,5
628,1013SL,4
629,1013SM,8
630,1013SN,5
631,1013SP,2
632,1013SR,8
633,1013ST,4
634,1013SV,7
635,1013SW,4
636,1013SX,5
637,1013SZ,5
638,1013TA,7
639,1013TB,7
640,1013TC,7
641,1013TD,5
642,1013TE,8
643,1013TG,10
644,1013TH,4
645,1013TJ,2
