,PC6,NWIRP
0,1011AH,30
1,1011AN,20
2,1011AP,20
3,1011AR,10
4,1011BD,10
5,1011BW,20
6,1011BX,20
7,1011BZ,20
8,1011CH,40
9,1011CM,10
10,1011CS,10
11,1011DD,40
12,1011DG,20
13,1011EA,10
14,1011EB,20
15,1011EJ,20
16,1011EL,20
17,1011ET,20
18,1011EW,20
19,1011EX,10
20,1011GD,10
21,1011GG,30
22,1011GL,20
23,1011GN,20
24,1011GS,10
25,1011HB,20
26,1011HC,20
27,1011HH,40
28,1011HR,10
29,1011HZ,10
30,1011JB,10
31,1011JH,10
32,1011JN,30
33,1011JT,20
34,1011KS,30
35,1011KT,10
36,1011KW,10
37,1011LD,10
38,1011LL,20
39,1011LM,10
40,1011LS,30
41,1011LW,10
42,1011LZ,20
43,1011MA,20
44,1011MB,20
45,1011MG,10
46,1011MH,10
47,1011MJ,10
48,1011MK,30
49,1011ML,20
50,1011MN,20
51,1011MP,30
52,1011MX,40
53,1011MZ,20
54,1011NA,40
55,1011NC,20
56,1011ND,30
57,1011NS,20
58,1011PB,10
59,1011PG,10
60,1011PL,10
61,1011RA,70
62,1011RE,30
63,1011RN,30
64,1011TB,10
65,1011TD,20
66,1011TT,30
67,1011TV,20
68,1011TZ,20
69,1011VM,10
70,1011VP,30
71,1011WB,30
72,1011WC,10
73,1011WD,30
74,1012AE,20
75,1012AR,20
76,1012AS,30
77,1012AT,50
78,1012AV,40
79,1012AW,40
80,1012AZ,20
81,1012BA,20
82,1012BB,30
83,1012BC,50
84,1012BG,30
85,1012BH,20
86,1012BL,20
87,1012BM,10
88,1012BN,20
89,1012BP,10
90,1012BS,10
91,1012BT,30
92,1012BV,20
93,1012BW,10
94,1012BZ,20
95,1012CB,10
96,1012CD,20
97,1012CE,30
98,1012DC,20
99,1012DM,20
100,1012DP,20
101,1012DR,20
102,1012DS,20
103,1012DV,20
104,1012ED,50
105,1012EJ,10
106,1012EK,30
107,1012EL,30
108,1012EM,30
109,1012ES,20
110,1012ET,20
111,1012EX,20
112,1012GD,10
113,1012GH,10
114,1012GK,10
115,1012GL,10
116,1012GM,10
117,1012GP,20
118,1012GR,10
119,1012GS,20
120,1012GT,30
121,1012HC,30
122,1012HE,10
123,1012HG,10
124,1012HT,20
125,1012JA,30
126,1012JB,20
127,1012JD,20
128,1012JG,20
129,1012JV,20
130,1012KS,40
131,1012LJ,40
132,1012LX,20
133,1012LZ,20
134,1012MC,20
135,1012MH,30
136,1012MK,20
137,1012MN,30
138,1012NB,20
139,1012NC,20
140,1012NE,10
141,1012NG,20
142,1012NH,20
143,1012NK,10
144,1012NL,20
145,1012NM,30
146,1012NN,50
147,1012PL,20
148,1012PM,40
149,1012PS,20
150,1012PT,30
151,1012PV,20
152,1012RD,30
153,1012RG,30
154,1012RK,20
155,1012RM,10
156,1012RR,10
157,1012RS,20
158,1012RV,20
159,1012RZ,20
160,1012SE,20
161,1012SH,30
