,PC6,M_INKHH,UITKMINAOW,inwoners,mannen,vrouwen,lft_0_14,lft_15_24,lft_25_44,lft_45_64,lft_65_74,lft_75plus,nwallochtonen_klas,particulier_hh,eenpers_hh,meerpers_hh,eenoud_hh,tweeoud_hh,huishoudgrootte
0,1011AC,3630,5,20,10,10,0,0,5,5,5,0,1,10,0,5,0,0,2
1,1011AN,1960,11,25,15,10,0,0,10,10,0,0,2,20,10,5,0,0,1
2,1011AP,2890,10,25,10,15,0,5,15,5,0,0,2,15,5,5,0,0,1
3,1011AR,3210,2,80,30,50,0,20,40,15,0,0,2,55,40,10,0,0,1
4,1011AX,4200,10,25,10,15,5,0,10,0,0,0,1,10,5,0,0,0,2
5,1011AZ,2280,8,25,10,10,0,0,15,0,0,0,3,20,15,0,0,0,1
6,1011BC,2680,4,40,25,15,0,10,20,5,0,0,1,30,20,5,0,0,1
7,1011BD,2120,10,35,20,10,0,5,10,10,5,0,2,15,5,0,0,0,2
8,1011BH,1840,9,55,25,30,10,10,15,20,0,0,1,25,15,5,0,5,2
9,1011BJ,2270,8,60,20,35,0,15,20,10,5,0,1,50,40,0,0,0,1
10,1011BN,3700,10,25,15,10,0,0,10,10,5,0,1,15,10,0,0,0,1
11,1011BP,2710,8,25,10,10,0,0,5,5,0,0,1,10,5,0,0,0,2
12,1011BS,3110,11,25,10,15,0,0,5,10,0,0,1,15,5,5,0,0,1
13,1011BT,1750,10,40,20,20,5,0,20,5,5,0,1,25,15,5,0,0,1
14,1011BV,1850,10,25,10,15,5,0,0,10,5,0,2,15,10,0,0,0,1
15,1011BW,1710,2,35,20,15,0,0,15,10,0,0,2,25,20,0,0,0,1
16,1011BX,1410,2,30,10,15,0,0,10,5,0,0,4,20,15,0,0,0,1
17,1011BZ,1600,5,35,15,25,5,0,15,10,0,0,3,20,10,5,0,0,1
18,1011CA,1860,9,35,20,15,0,0,10,15,0,0,1,20,10,5,0,0,1
19,1011CB,2230,9,35,20,20,0,0,20,5,0,0,1,25,20,5,0,0,1
20,1011CC,1620,8,20,10,10,0,0,5,10,5,0,1,15,5,0,0,0,1
21,1011CD,2190,9,35,20,15,10,0,10,10,0,0,1,20,10,0,0,0,1
22,1011CH,2060,5,25,15,10,0,0,20,5,0,0,4,20,15,5,0,0,1
23,1011CM,1850,6,60,35,25,5,5,20,25,0,0,1,45,35,10,0,0,1
24,1011CS,1790,8,40,20,15,0,0,15,15,0,0,3,25,15,5,0,0,1
25,1011CT,2630,8,25,15,10,5,0,10,10,0,0,2,15,5,0,0,0,1
26,1011CV,1170,2,25,15,10,0,0,5,5,0,0,1,15,10,0,0,0,1
27,1011CX,2320,5,25,10,15,0,0,10,10,0,0,1,15,10,0,0,0,1
28,1011CZ,2080,8,30,15,15,0,0,15,5,5,0,1,20,10,0,0,0,1
29,1011DL,2930,11,65,45,15,0,0,20,35,0,0,1,40,20,20,0,0,1
30,1011EA,1500,2,60,30,30,5,15,10,15,10,0,2,40,35,0,0,0,1
31,1011EB,1650,5,35,15,15,5,0,10,10,0,0,2,20,10,0,0,0,1
32,1011EC,1770,5,60,30,30,5,5,15,25,0,0,1,40,25,0,10,0,1
33,1011EE,1680,5,25,10,15,0,0,10,5,0,0,3,15,10,0,0,0,1
34,1011EG,1660,5,50,25,25,0,15,20,10,0,0,1,30,20,5,0,0,1
35,1011EH,1820,4,45,25,20,0,5,25,0,0,0,1,35,25,5,0,0,1
36,1011EJ,1780,6,35,25,10,0,0,15,10,0,0,3,25,15,0,0,0,1
37,1011EK,2010,8,40,25,15,0,5,10,15,0,0,1,20,5,10,0,0,2
38,1011EL,1510,6,50,20,30,5,5,15,15,0,0,2,35,25,0,0,0,1
39,1011EN,1820,8,35,20,15,0,0,15,10,0,0,1,25,15,5,0,0,1
40,1011ET,2110,5,40,20,20,0,5,20,15,0,0,2,25,15,5,0,0,1
41,1011EW,1700,5,65,40,30,5,15,15,20,10,0,3,45,35,0,5,0,1
42,1011EX,1840,2,55,25,30,5,15,20,10,0,0,1,40,30,5,0,0,1
43,1011GA,2330,5,35,20,15,0,0,15,10,0,5,1,25,15,0,0,0,1
44,1011GD,2020,6,80,40,35,10,0,20,40,5,0,1,50,30,10,0,5,1
45,1011GG,1850,5,45,15,25,5,15,15,10,0,0,3,30,20,0,0,0,1
46,1011GH,1380,4,30,15,15,0,0,10,15,0,0,1,20,15,0,0,0,1
47,1011GJ,2380,2,35,10,25,10,5,15,10,0,0,1,20,10,0,0,0,1
48,1011GL,1580,2,90,45,45,0,10,20,45,5,5,3,70,55,10,5,0,1
49,1011GM,2220,2,35,20,15,0,5,10,10,10,0,1,20,10,0,0,0,1
50,1011GN,1380,2,35,15,20,0,0,5,15,0,5,3,25,20,0,0,0,1
51,1011GR,1900,2,35,25,10,0,0,10,15,5,0,1,30,20,0,0,0,1
52,1011GS,3130,9,65,35,35,5,0,20,35,0,0,1,40,20,15,0,0,1
53,1011GZ,1570,2,45,25,20,0,0,10,20,5,0,1,35,25,0,0,0,1
54,1011HB,1710,4,275,135,140,20,20,85,100,30,20,3,195,145,25,15,15,1
55,1011HC,1890,5,50,30,20,0,0,25,20,0,0,2,35,20,10,0,0,1
56,1011HG,1760,2,30,15,10,0,0,10,10,0,0,2,20,15,0,0,0,1
57,1011HH,1960,5,40,15,20,0,10,10,15,0,0,4,20,10,0,0,0,1
58,1011HJ,1900,10,25,15,10,0,0,10,10,0,0,1,15,10,5,0,0,1
59,1011HL,1800,8,25,20,10,5,0,10,10,0,0,1,20,15,0,0,0,1
60,1011HP,1700,2,25,15,10,0,0,10,10,5,0,2,20,15,0,0,0,1
61,1011HR,2140,5,80,45,35,5,5,25,30,10,0,1,55,40,5,5,0,1
62,1011HS,2220,6,55,35,20,0,10,15,15,10,0,1,40,25,10,0,0,1
63,1011HT,2510,10,25,15,10,0,0,0,10,5,0,2,20,10,5,0,0,1
64,1011HV,2730,10,25,15,10,0,0,10,10,0,0,1,20,10,5,0,0,1
65,1011HW,1800,10,30,15,15,0,0,10,15,0,0,1,20,10,0,0,0,1
66,1011HZ,2100,6,80,50,30,0,10,25,30,15,0,2,55,35,10,5,0,1
67,1011JA,1980,6,40,20,20,5,0,15,15,0,0,1,25,15,5,0,0,1
68,1011JB,1790,5,50,30,20,5,0,10,20,5,0,2,30,20,5,0,0,1
69,1011JH,2040,4,125,65,60,5,5,40,50,10,5,1,90,65,15,0,5,1
70,1011JL,1720,8,25,15,10,0,0,5,10,0,0,2,15,10,5,0,0,1
71,1011JN,2750,11,25,15,10,5,0,10,0,5,0,2,15,5,0,0,0,1
72,1011JT,2920,5,35,20,10,0,10,15,10,0,0,3,30,25,0,0,0,1
73,1011JV,2550,8,25,5,20,0,0,15,5,0,0,1,20,15,0,0,0,1
74,1011JZ,2990,2,20,10,10,0,0,0,10,0,0,2,10,5,0,0,0,1
75,1011KA,3270,8,40,20,20,0,0,10,15,5,0,2,30,15,10,0,0,1
76,1011KB,2420,11,35,20,20,0,0,10,10,5,0,1,20,10,10,0,0,1
77,1011KC,2520,5,40,15,25,0,10,5,20,0,0,2,25,15,5,0,0,1
78,1011KH,2080,9,30,20,10,0,5,0,15,5,0,1,25,25,0,0,0,1
79,1011KJ,1780,8,35,25,10,0,5,10,15,0,0,1,30,20,5,0,0,1
80,1011KK,1870,5,40,20,20,0,0,5,15,5,0,2,25,15,0,0,0,1
81,1011KP,2800,11,30,15,15,0,0,10,5,5,0,1,20,10,5,0,0,1
82,1011KR,2440,5,35,20,10,0,0,15,10,0,0,1,20,10,5,0,0,1
83,1011KS,2180,8,20,10,10,0,0,0,5,0,0,3,10,5,0,0,0,1
84,1011KT,1490,2,65,25,40,0,15,20,20,0,0,2,45,35,5,0,0,1
85,1011KW,1790,6,100,50,50,0,10,45,25,10,0,2,75,55,15,0,0,1
86,1011KZ,1570,2,45,25,20,0,10,15,15,5,0,1,30,20,5,0,0,1
87,1011LB,1500,5,40,15,25,0,5,10,10,5,5,2,25,20,0,0,0,1
88,1011LC,1670,8,30,15,15,0,0,10,10,0,0,2,15,10,0,0,0,1
89,1011LD,2520,5,85,45,40,10,15,25,25,5,0,1,50,35,10,0,10,1
90,1011LE,2120,6,70,30,40,10,5,20,25,10,0,1,35,20,5,0,10,1
91,1011LH,1620,2,25,15,10,0,0,5,10,0,0,1,15,10,0,0,0,1
92,1011LJ,2030,5,20,10,15,0,0,0,10,0,0,2,15,10,0,0,0,1
93,1011LL,1830,8,25,15,10,0,0,15,5,0,0,2,20,15,5,0,0,1
94,1011LM,1980,9,165,85,80,5,10,75,60,10,0,1,120,85,30,0,0,1
95,1011LS,1020,2,20,10,10,0,0,5,5,0,0,3,15,10,0,5,0,1
96,1011LV,1500,6,20,10,10,0,0,0,15,0,0,2,15,10,0,0,0,1
97,1011LW,1450,5,45,20,20,0,0,10,20,0,0,2,35,30,0,0,0,1
98,1011LZ,2250,10,110,65,50,10,5,60,30,5,0,2,75,45,20,0,5,1
99,1011MB,1570,2,55,30,25,0,0,10,25,5,10,2,40,30,5,0,0,1
100,1011MG,2280,9,50,25,25,0,5,10,25,5,0,1,30,15,15,0,0,1
101,1011MH,2660,11,80,45,35,10,0,25,35,5,0,2,50,25,10,0,5,1
102,1011MJ,2620,9,55,30,25,10,0,15,20,5,0,2,30,10,10,0,5,1
103,1011MK,2290,8,90,45,40,5,5,25,35,15,0,3,60,35,15,0,0,1
104,1011ML,2310,9,75,35,40,5,5,15,35,10,0,2,45,25,10,0,5,1
105,1011MN,2190,5,105,50,55,15,15,20,40,10,0,2,60,40,10,10,10,1
106,1011MP,2800,11,35,20,15,0,0,15,10,0,0,3,20,15,5,0,0,1
107,1011MR,2760,8,45,20,25,10,0,20,10,0,0,1,20,0,0,0,10,2
108,1011MT,2850,11,40,25,15,10,0,15,15,0,0,2,20,5,5,0,5,2
109,1011MV,2210,10,45,15,30,5,0,15,20,0,0,1,30,20,5,0,0,1
110,1011MX,2180,2,60,25,30,5,0,10,20,10,10,5,35,15,10,0,0,1
111,1011MZ,2300,10,50,30,20,5,0,10,30,0,0,2,30,15,10,0,0,1
112,1011NA,2370,5,55,25,30,10,0,20,15,5,0,5,35,20,5,5,0,1
113,1011NB,1650,8,20,10,10,0,0,10,0,0,0,2,15,10,0,0,0,1
114,1011NC,2620,11,80,45,35,10,5,40,20,0,0,2,50,30,15,0,5,1
115,1011ND,1200,2,20,10,10,0,0,10,5,0,0,5,15,10,0,0,0,1
116,1011NK,2030,10,35,20,15,0,5,10,15,0,0,1,20,10,5,0,0,1
117,1011NS,2590,6,90,50,40,15,15,40,20,5,0,3,55,30,10,10,5,1
118,1011NV,2200,11,30,20,15,0,0,10,15,0,0,1,20,10,10,0,0,1
119,1011PB,1880,5,35,15,20,0,0,10,15,0,0,2,20,15,0,0,0,1
120,1011PG,1980,6,155,85,70,10,15,65,45,20,0,2,115,80,30,0,0,1
121,1011PL,1630,5,65,30,35,0,0,20,25,10,0,1,50,40,0,0,0,1
122,1011PM,2130,4,25,15,10,0,0,10,5,5,0,1,20,15,5,0,0,1
123,1011RA,2220,2,25,15,10,0,10,5,10,0,0,7,15,10,0,0,0,1
124,1011RE,1990,5,25,10,10,0,0,5,10,0,0,3,15,5,0,0,0,1
125,1011RG,1940,6,25,15,10,0,0,15,5,0,0,1,20,20,0,0,0,1
126,1011RH,2150,4,30,15,20,5,0,15,10,0,0,1,20,10,0,0,0,1
127,1011RL,1920,10,35,25,10,0,0,10,15,0,0,2,25,15,5,0,0,1
128,1011RM,2660,1,40,30,10,0,25,15,0,0,0,1,35,30,0,0,0,1
129,1011RN,2270,10,30,15,15,0,5,15,10,0,0,3,20,15,0,0,0,1
130,1011SB,2670,1,50,25,25,0,15,25,0,5,0,1,40,35,0,0,0,1
131,1011SG,2950,5,35,15,20,0,5,15,10,0,0,1,30,25,0,0,0,1
132,1011SP,1530,11,25,15,10,0,0,10,5,0,0,1,15,10,0,0,0,1
133,1011SR,1050,2,20,10,10,0,0,0,0,10,5,1,15,10,5,0,0,1
134,1011TB,2220,8,90,40,50,5,15,25,35,5,0,1,60,35,15,5,0,1
135,1011TC,1880,6,30,15,15,0,0,20,10,0,0,1,25,15,5,0,0,1
136,1011TD,4070,1,190,80,110,0,130,60,0,0,0,2,165,145,20,0,0,1
137,1011TG,2520,8,40,15,25,5,0,25,0,0,0,1,25,10,5,0,0,1
138,1011TJ,1840,8,40,25,15,10,0,20,5,0,0,2,20,10,5,0,0,2
139,1011TR,1450,8,30,15,10,0,10,10,10,0,0,1,25,20,0,0,0,1
140,1011TT,2380,2,60,25,35,10,10,25,10,0,0,4,40,30,5,0,0,1
141,1011TV,2070,5,130,65,65,20,15,50,40,5,0,2,75,40,15,10,10,1
142,1011TW,2650,10,25,10,10,0,0,15,0,0,0,2,15,10,0,0,0,1
143,1011TX,2170,8,50,25,25,5,0,20,15,5,0,1,25,10,10,0,5,1
144,1011TZ,2180,8,145,80,65,20,10,60,45,10,0,2,80,40,20,0,15,1
145,1011VL,2520,5,60,30,30,0,15,15,15,5,5,1,40,30,10,0,0,1
146,1011VM,2890,5,65,30,35,10,10,35,10,0,0,1,45,30,5,0,5,1
147,1011VP,1630,5,45,20,20,0,0,20,20,0,0,3,30,20,10,0,0,1
148,1011VS,1950,5,40,15,20,0,0,10,20,5,0,1,20,10,5,0,0,1
149,1011WB,1670,5,55,35,20,0,10,15,15,10,0,4,40,30,0,0,0,1
150,1011WC,1740,2,65,30,30,5,0,10,20,5,10,2,45,30,5,0,0,1
