,PC6,AV1_SUPERM,AV3_SUPERM,AV5_SUPERM
1,1011AC,1,2,0
4,1011AG,0,3,8
5,1011AH,0,3,8
6,1011AJ,0,3,8
9,1011AM,0,5,7
10,1011AN,0,5,7
11,1011AP,0,5,7
12,1011AR,0,6,7
13,1011AS,0,6,7
14,1011AT,0,5,6
15,1011AV,0,5,6
16,1011AW,0,5,6
17,1011AX,0,4,7
18,1011AZ,0,5,7
19,1011BA,0,6,7
20,1011BB,0,4,7
21,1011BC,0,5,6
22,1011BD,0,5,6
23,1011BG,0,3,7
24,1011BH,0,3,8
25,1011BJ,0,3,8
26,1011BK,0,3,7
27,1011BL,0,4,7
28,1011BM,0,4,7
29,1011BN,0,4,7
30,1011BP,0,4,6
31,1011BR,0,4,6
32,1011BS,0,3,8
33,1011BT,0,2,8
34,1011BV,0,2,8
35,1011BW,0,2,8
36,1011BX,0,2,7
37,1011BZ,0,2,8
38,1011CA,0,3,8
39,1011CB,0,3,8
40,1011CC,0,3,8
41,1011CD,0,4,7
42,1011CE,0,4,7
43,1011CH,0,1,8
44,1011CJ,0,1,8
45,1011CK,0,1,8
46,1011CL,0,1,8
47,1011CM,0,2,7
48,1011CN,0,3,7
50,1011CR,0,2,8
51,1011CS,0,2,8
52,1011CT,0,3,8
53,1011CV,0,3,8
54,1011CW,3,8,78
55,1011CX,0,4,7
56,1011CZ,0,4,7
59,1011DD,0,7,3
60,1011DG,0,8,2
63,1011DK,8,2,4
64,1011DL,0,7,4
65,1011DZ,0,2,8
66,1011EA,0,2,8
67,1011EB,0,3,8
68,1011EC,0,3,8
69,1011ED,0,3,7
70,1011EE,0,4,7
71,1011EG,0,3,8
72,1011EH,0,3,7
73,1011EJ,0,2,7
74,1011EK,0,2,7
75,1011EL,0,1,7
76,1011EM,0,1,7
77,1011EN,0,1,8
78,1011ER,0,1,8
79,1011ES,1,8,78
80,1011ET,0,2,7
81,1011EV,2,8,78
82,1011EW,0,2,8
83,1011EX,0,2,7
84,1011EZ,0,3,7
85,1011GA,0,3,7
86,1011GB,3,7,79
87,1011GC,0,3,7
88,1011GD,0,1,8
89,1011GG,0,2,7
90,1011GH,0,2,7
91,1011GJ,0,2,7
92,1011GK,0,2,8
93,1011GL,0,2,7
94,1011GM,0,2,8
95,1011GN,0,2,8
96,1011GP,2,8,77
97,1011GR,0,2,7
98,1011GS,0,2,7
99,1011GT,0,2,8
100,1011GV,0,2,8
101,1011GW,0,2,8
102,1011GX,0,2,8
103,1011GZ,0,2,9
105,1011HB,0,1,9
106,1011HC,0,3,10
107,1011HD,0,3,10
108,1011HE,0,3,10
109,1011HG,0,3,11
110,1011HH,0,3,10
111,1011HJ,0,3,11
112,1011HK,0,3,11
113,1011HL,0,3,12
114,1011HM,3,11,84
115,1011HN,3,11,83
116,1011HP,0,3,11
117,1011HR,0,4,10
118,1011HS,0,4,11
119,1011HT,0,4,11
120,1011HV,0,5,11
121,1011HW,0,5,11
122,1011HX,0,4,12
123,1011HZ,0,4,10
124,1011JA,0,4,10
125,1011JB,0,2,9
126,1011JC,3,10,3
128,1011JG,0,4,11
129,1011JH,0,4,10
130,1011JJ,0,4,12
131,1011JK,4,11,86
132,1011JL,0,4,12
133,1011JM,0,4,11
134,1011JN,0,4,10
135,1011JP,0,1,8
136,1011JR,0,1,9
137,1011JS,1,9,78
138,1011JT,0,1,9
139,1011JV,0,1,9
141,1011JX,0,3,10
142,1011JZ,0,3,11
143,1011KA,0,4,11
144,1011KB,0,4,11
145,1011KC,0,4,11
146,1011KD,0,4,12
147,1011KE,0,3,12
148,1011KH,0,4,11
149,1011KJ,0,3,11
150,1011KK,0,4,10
151,1011KM,4,12,87
152,1011KN,0,4,12
153,1011KP,0,5,6
154,1011KR,0,5,7
155,1011KS,0,4,7
156,1011KT,0,4,7
157,1011KV,0,4,9
158,1011KW,0,3,9
159,1011KX,0,4,7
160,1011KZ,0,4,7
161,1011LA,0,4,7
