,PC6,AFS_RESTAU,AV1_RESTAU,AV3_RESTAU,AV5_RESTAU
1,1011AC,12,400,1,745
4,1011AG,779,0,147,4
5,1011AH,576,3,778,4
6,1011AJ,778,0,145,603
9,1011AM,840,0,346,393
10,1011AN,840,0,346,393
11,1011AP,838,0,346,393
12,1011AR,2,558,1,774
13,1011AS,580,840,0,346
14,1011AT,2,779,0,4
15,1011AV,116,2,562,1
16,1011AW,563,6,779,1
17,1011AX,1,133,1,581
18,1011AZ,5,563,7,777
19,1011BA,0,3,109,4
20,1011BB,2,132,3,573
21,1011BC,1,568,780,0
22,1011BD,7,570,6,780
23,1011BG,2,140,589,7
24,1011BH,9,586,780,0
25,1011BJ,576,7,780,0
26,1011BK,1,577,9,779
27,1011BL,591,848,0,2
28,1011BM,571,9,779,1
29,1011BN,600,851,0,2
30,1011BP,605,849,0,2
31,1011BR,3,780,0,3
32,1011BS,3,589,1,779
33,1011BT,2,598,9,779
34,1011BV,603,779,0,2
35,1011BW,6,604,779,9
36,1011BX,2,137,6,599
37,1011BZ,4,781,7,0
38,1011CA,2,781,0,2
39,1011CB,610,859,0,3
40,1011CC,606,856,0,3
41,1011CD,608,858,0,3
42,1011CE,1,586,1,780
43,1011CH,0,1,158,6
44,1011CJ,780,7,0,1
45,1011CK,0,1,162,8
46,1011CL,780,9,0,1
47,1011CM,150,603,8,780
48,1011CN,1,147,4,598
50,1011CR,4,615,4,782
51,1011CS,0,2,150,3
52,1011CT,782,0,1,143
53,1011CV,0,1,140,3
54,1011CW,859,0,3,350
55,1011CX,626,860,0,3
56,1011CZ,781,0,2,118
59,1011DD,3,509,7,768
60,1011DG,86,4,493,4
63,1011DK,765,8,0,1
64,1011DL,518,6,768,8
65,1011DZ,190,1,618,1
66,1011EA,3,617,1,783
67,1011EB,9,0,1,156
68,1011EC,783,0,1,139
69,1011ED,6,783,0,1
70,1011EE,0,2,138,5
71,1011EG,2,599,9,781
72,1011EH,585,4,779,0
73,1011EJ,2,159,5,589
74,1011EK,1,597,7,780
75,1011EL,781,0,1,164
76,1011EM,6,783,4,0
77,1011EN,625,8,786,1
78,1011ER,4,780,5,0
79,1011ES,9,786,0,1
80,1011ET,6,615,6,783
81,1011EV,1,173,7,642
82,1011EW,8,621,9,785
83,1011EX,1,615,1,783
84,1011EZ,139,8,634,865
85,1011GA,9,783,2,0
86,1011GB,0,2,350,394
87,1011GC,0,138,1,631
88,1011GD,1,197,1,623
89,1011GG,3,785,6,0
90,1011GH,4,785,6,0
91,1011GJ,5,613,1,783
92,1011GK,609,7,784,2
93,1011GL,1,195,1,618
94,1011GM,633,868,0,3
95,1011GN,5,785,2,0
96,1011GP,4,0,1,155
97,1011GR,615,3,783,2
98,1011GS,181,3,617,9
99,1011GT,4,615,3,787
100,1011GV,3,0,1,159
101,1011GW,783,5,0,1
102,1011GX,7,618,1,785
103,1011GZ,4,615,8,788
105,1011HB,621,6,789,4
106,1011HC,793,0,212,4
107,1011HD,625,6,792,7
108,1011HE,793,0,1,217
109,1011HG,3,792,3,0
110,1011HH,793,0,212,4
111,1011HJ,628,7,794,0
112,1011HK,8,794,0,1
113,1011HL,0,1,198,5
114,1011HM,2,355,394,464
115,1011HN,880,0,2,355
116,1011HP,627,793,4,0
117,1011HR,218,3,626,9
118,1011HS,630,6,791,8
119,1011HT,631,8,792,0
120,1011HV,792,0,2,191
121,1011HW,0,1,174,5
122,1011HX,8,792,0,1
123,1011HZ,1,625,4,793
124,1011JA,5,626,4,792
125,1011JB,7,621,2,790
126,1011JC,620,8,792,4
128,1011JG,641,880,0,2
129,1011JH,184,9,626,1
130,1011JJ,0,1,174,1
131,1011JK,0,159,5,656
132,1011JL,1,176,3,658
133,1011JM,633,794,0,154
134,1011JN,8,626,791,0
135,1011JP,787,5,0,1
136,1011JR,628,5,789,0
137,1011JS,0,2,352,394
138,1011JT,628,6,793,0
139,1011JV,793,0,1,215
141,1011JX,8,794,0,1
142,1011JZ,634,6,794,0
143,1011KA,633,1,792,7
144,1011KB,634,4,791,8
145,1011KC,1,217,5,634
146,1011KD,637,8,791,3
147,1011KE,791,0,1,180
148,1011KH,0,1,206,8
149,1011KJ,4,627,1,793
150,1011KK,2,223,8,625
151,1011KM,0,1,165,657
152,1011KN,4,0,1,160
153,1011KP,608,853,0,2
154,1011KR,137,587,3,779
155,1011KS,2,139,7,592
156,1011KT,2,148,595,1
157,1011KV,1,605,4,782
158,1011KW,166,3,606,6
159,1011KX,3,781,0,2
