,PC6,AFS_ONDBAS,AV1_ONDBAS,AV3_ONDBAS,AV5_ONDBAS,AFS_ONDHV,AV3_ONDHV,AV5_ONDHV,AV10_ONDHV,AFS_ONDVMB,AV3_ONDVMB,AV5_ONDVMB,AV10ONDVMB,AFS_ONDVRT,AV3_ONDVRT,AV5_ONDVRT,AV10ONDVRT
1,1011AC,179,5,1,7,5,1,1,1,1,2,2,4,9,46,0,6
4,1011AG,5,4,9,47,0,4,14,15,20,1,0,4,44,47,68,0
5,1011AH,1,5,4,9,47,0,4,14,15,20,6,0,4,44,47,68
6,1011AJ,0,6,1,5,4,9,47,0,4,14,15,21,0,4,44,47
12,1011AR,0,7,4,7,0,8,0,8,1,2,4,9,47,0,4,14
14,1011AT,9,1,1,4,9,47,0,5,14,15,20,0,44,47,67,2
15,1011AV,1,0,6,4,8,0,9,0,9,1,1,4,9,47,0,5
16,1011AW,6,0,5,4,8,1,1,1,1,4,9,47,0,6,14,15
17,1011AX,4,5,84,5,228,3,0,8,4,6,0,8,0,8,1,3
18,1011AZ,82,224,3,0,6,4,8,0,9,0,9,1,2,4,9,47
19,1011BA,9,1,2,4,9,47,0,4,14,15,20,0,1,44,47,67
20,1011BB,4,5,2,84,3,227,9,0,7,4,7,0,9,0,9,1
21,1011BC,7,1,1,1,1,4,9,47,0,6,14,15,19,3,0,1
22,1011BD,2,0,6,4,7,1,1,1,1,4,9,47,0,6,14,15
23,1011BG,4,5,87,3,230,9,0,8,4,6,0,8,0,8,1,4
24,1011BH,231,0,8,4,7,0,8,0,8,1,3,4,9,47,0,4
25,1011BJ,0,9,0,9,1,3,4,9,47,0,5,14,15,20,6,0
26,1011BK,0,7,4,7,0,9,0,9,1,3,4,9,47,0,5,14
27,1011BL,15,20,0,3,44,47,68,0,4,37,46,58,0,8,4,7
28,1011BM,0,7,4,7,0,9,0,9,1,2,4,9,47,0,5,14
29,1011BN,15,20,0,2,44,47,68,0,4,37,46,58,0,8,4,7
31,1011BR,1,1,2,4,9,47,0,6,14,15,20,0,2,44,47,68
32,1011BS,4,5,0,6,0,6,1,6,4,9,47,0,4,14,15,21
33,1011BT,232,1,4,6,0,7,0,7,1,6,4,9,47,0,5,14
34,1011BV,4,5,0,7,0,7,1,5,4,9,47,0,5,14,15,21
35,1011BW,89,232,8,0,9,4,5,0,8,0,8,1,5,4,9,47
36,1011BX,2,87,7,232,7,0,9,4,6,0,9,0,9,1,4,4
37,1011BZ,6,0,9,0,9,1,4,4,9,47,0,5,14,15,21,0
38,1011CA,0,9,0,9,1,4,4,9,47,0,5,14,15,21,0,4
39,1011CB,15,21,0,3,44,47,68,0,2,35,46,60,0,8,4,8
42,1011CE,0,7,4,6,1,1,1,2,4,9,47,0,7,14,15,21
43,1011CH,0,8,1,5,4,9,47,0,5,14,15,21,0,3,44,47
44,1011CJ,5,0,8,0,8,1,5,4,9,47,0,5,14,15,21,0
45,1011CK,7,1,5,4,9,47,0,5,14,15,21,0,3,44,47,68
46,1011CL,4,5,0,8,0,8,1,5,4,9,47,0,5,14,15,21
47,1011CM,7,92,8,233,3,0,9,4,5,0,8,0,8,1,5,4
48,1011CN,5,6,91,233,4,0,9,4,5,0,9,0,9,1,5,4
50,1011CR,237,1,1,4,4,0,8,0,8,1,4,4,9,47,0,7
51,1011CS,9,1,4,4,9,47,0,7,14,15,21,0,4,44,47,68
52,1011CT,9,0,9,1,4,4,9,47,0,7,14,15,21,0,4,44
53,1011CV,4,4,9,47,0,7,14,15,21,0,5,44,47,68,0,2
56,1011CZ,5,1,1,1,1,1,3,4,9,47,0,7,14,15,20,9
59,1011DD,1,2,4,7,0,7,0,7,1,8,4,9,46,4,0,1
60,1011DG,1,1,3,4,8,0,8,0,8,1,8,4,9,46,0,2
63,1011DK,4,7,0,7,0,7,1,8,4,9,46,0,2,14,15,20
64,1011DL,213,1,1,1,4,7,0,7,0,7,1,7,4,9,47,0
65,1011DZ,103,241,8,0,9,4,3,1,1,1,2,4,9,47,0,9
66,1011EA,5,237,8,0,9,4,4,0,9,0,9,1,4,4,9,47
67,1011EB,9,0,9,1,3,4,9,47,0,7,14,15,21,0,4,44
68,1011EC,1,3,4,9,47,0,7,14,15,21,0,5,44,47,68,0
