,PC6,AFS_OPRIT,AFS_TRNOVS,AFS_TREINS
1,1011AC,5,335,9
4,1011AG,228,1,1203
5,1011AH,394,459,0
6,1011AJ,1,225,2
9,1011AM,48,140,0
10,1011AN,48,140,0
11,1011AP,48,140,0
12,1011AR,344,2,393
13,1011AS,50,140,0
14,1011AT,0,160,1161
15,1011AV,346,1,393
16,1011AW,347,393,459
17,1011AX,851,3,0
18,1011AZ,0,1,346
19,1011BA,0,1,162
20,1011BB,846,7,0
21,1011BC,393,458,7
22,1011BD,347,393,458
23,1011BG,6,0,1
24,1011BH,347,4,393
25,1011BJ,347,393,459
26,1011BK,0,2,347
27,1011BL,3,3,51
28,1011BM,2,347,393
29,1011BN,3,3,53
30,1011BP,3,4,52
31,1011BR,459,0,2
32,1011BS,0,1,349
33,1011BT,2,350,5
34,1011BV,4,395,460
35,1011BW,2,350,8
36,1011BX,855,9,0
37,1011BZ,349,393,7
38,1011CA,393,6,460
39,1011CB,2,3,54
40,1011CC,2,3,55
41,1011CD,2,3,54
42,1011CE,0,3,347
43,1011CH,9,0,242
44,1011CJ,461,0,224
45,1011CK,252,1292,6
46,1011CL,395,461,2
47,1011CM,0,3,350
48,1011CN,0,3,349
50,1011CR,0,2,351
51,1011CS,1,219,3
52,1011CT,394,462,0
53,1011CV,8,0,1
54,1011CW,3,51,145
55,1011CX,2,3,51
56,1011CZ,461,0,2
59,1011DD,1,345,6
60,1011DG,0,2,343
63,1011DK,392,4,457
64,1011DL,344,8,393
65,1011DZ,9,0,3
66,1011EA,0,2,351
67,1011EB,462,0,1
68,1011EC,462,0,1
69,1011ED,394,461,0
70,1011EE,858,3,0
71,1011EG,3,349,9
72,1011EH,349,394,460
73,1011EJ,854,8,0
74,1011EK,0,2,350
75,1011EL,462,0,245
76,1011EM,352,395,462
77,1011EN,1,352,394
78,1011ER,351,395,461
79,1011ES,0,1,269
80,1011ET,0,2,350
81,1011EV,265,5,1323
82,1011EW,0,2,351
83,1011EX,2,350,5
84,1011EZ,5,1296,8
85,1011GA,2,394,462
86,1011GB,145,0,2
87,1011GC,1,213,1
88,1011GD,351,1,394
89,1011GG,351,394,461
90,1011GH,351,394,461
91,1011GJ,2,351,394
92,1011GK,4,351,394
93,1011GL,8,0,3
